"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Cu1,Cd1,Cd2";"C_Radial_D16_L25_P7.5";3;"22F";;;
2;"Cu2";"SMD-0603";1;"100uF";;;
3;"R2,R3";"SMD-0805";2;"75k";;;
4;"R5,R4,R6,R8";"SMD-0805";4;"-";;;
5;"D1";"SMA_Standard";1;"M4";;;
6;"J1,J11";"Straight_2x03";2;"JUMP_3X2";;;
7;"L2,L1";"DER0705";2;"DER0705-3.3uH";;;
8;"C1";"SMD-0805";1;"10uF";;;
9;"J5,J6";"Straight_1x01";2;"CONN1_1";;;
10;"J9,J10";"Straight_2x01";2;"JUMP_2x1";;;
11;"R1";"SMD-0805";1;"200k";;;
12;"U1";"DFN-12-1EP_3x4mm_Pitch0.5mm";1;"LTC3625";;;
13;"D2";"Straight_1x02";1;"LED";;;
14;"P1";"uUSB-B";1;"USB_OTG";;;
15;"R7";"SMD-0805";1;"??k";;;
